Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-01-29,24.469913829949974,24.469913829949974,24.348172965124352,24.45252227783203,1003200,29,4,4,1,1993
1993-02-01,24.469899007829568,24.626422882080078,24.469899007829568,24.626422882080078,480500,1,0,5,2,1993
1993-02-02,24.609039842956413,24.69599758091739,24.55686520017983,24.678606033325195,201300,2,1,5,2,1993
1993-02-03,24.713404824377932,24.956886645307765,24.69601326574009,24.939495086669922,529400,3,2,5,2,1993
1993-02-04,25.026431698269313,25.095997873942054,24.74816699557834,25.0438232421875,531500,4,3,5,2,1993
1993-02-05,25.026443481445316,25.078618137765215,24.887311064592247,25.026443481445312,492100,5,4,5,2,1993
1993-02-08,25.026443481445316,25.11340124197848,24.991660377232048,25.026443481445312,596100,8,0,6,2,1993
1993-02-09,24.939483463722482,24.939483463722482,24.800351059461825,24.85252571105957,122100,9,1,6,2,1993
1993-02-10,24.85253073467732,24.904705396821498,24.78296451848508,24.887313842773438,379600,10,2,6,2,1993
1993-02-11,24.922085011287262,25.11339201416525,24.922085011287262,25.009042739868164,19500,11,3,6,2,1993
1993-02-12,24.974261502410954,24.974261502410954,24.817737579345703,24.817737579345703,42500,12,4,6,2,1993
1993-02-16,24.748172285572217,24.748172285572217,24.156859665959107,24.19164276123047,374800,16,1,7,2,1993
1993-02-17,24.191643104278786,24.226426200043385,24.087293816984985,24.174251556396484,210900,17,2,7,2,1993
1993-02-18,24.45250894698932,24.45250894698932,23.826413412073517,24.15685272216797,378100,18,3,7,2,1993
1993-02-19,24.15686434276477,24.24382209777832,24.12208124075935,24.24382209777832,34900,19,4,7,2,1993
1993-02-22,24.313390384153266,24.36556504162999,24.2438241741843,24.330781936645508,513600,22,0,8,2,1993
1993-02-23,24.400340838834794,24.417732386118356,24.191642271432073,24.313383102416992,373700,23,1,8,2,1993
1993-02-24,24.330766675162447,24.626422882080078,24.330766675162447,24.626422882080078,26300,24,2,8,2,1993
1993-02-25,24.609039842956413,24.69599758091739,24.55686520017983,24.678606033325195,44500,25,3,8,2,1993
1993-02-26,24.73077999010294,24.73077999010294,24.591647613224723,24.713388442993164,66200,26,4,8,2,1993
1993-03-01,24.80034371741489,24.80034371741489,24.609036718192197,24.64381980895996,66500,1,0,9,3,1993
1993-03-02,24.661211825544548,25.009042739868164,24.626428734112185,25.009042739868164,182400,2,1,9,3,1993
1993-03-03,25.043839008193927,25.130796782527934,25.009055898460325,25.113405227661133,280100,3,2,9,3,1993
1993-03-04,25.148173871478665,25.148173871478665,24.974258422851562,24.974258422851562,89500,4,3,9,3,1993
1993-03-05,25.009050539751957,25.113399846593758,24.887309681769853,24.904701232910156,40000,5,4,9,3,1993
1993-03-08,24.956883719710056,25.461238861083988,24.956883719710056,25.461238861083984,50800,8,0,10,3,1993
1993-03-09,25.409056402707115,25.426447953975224,25.32209864636657,25.3742733001709,169300,9,1,10,3,1993
1993-03-10,25.3742665526968,25.42644119262695,25.269917272836498,25.426441192626953,194400,10,2,10,3,1993
1993-03-11,25.443843680644722,25.513409897133155,25.32210280178996,25.35688591003418,70900,11,3,10,3,1993
1993-03-12,25.148179131585195,25.1655706800856,24.939480549580338,25.096004486083984,643600,12,4,10,3,1993
1993-03-15,25.078621926143253,25.217754364013672,25.078621926143253,25.217754364013672,310800,15,0,11,3,1993
1993-03-16,25.217754364013672,25.287320582948883,25.217754364013672,25.217754364013672,30800,16,1,11,3,1993
1993-03-17,25.18295908602967,25.18295908602967,25.026435169058487,25.06121826171875,21800,17,2,11,3,1993
1993-03-18,25.165579699812266,25.322103692416487,25.165579699812266,25.217754364013672,59300,18,3,11,3,1993
1993-03-19,25.319368253889223,25.319368253889223,25.17957878112793,25.17957878112793,66900,19,4,11,3,1993
1993-03-22,24.934958491887734,25.09222171993748,24.917484799882207,25.0398006439209,183400,22,0,12,3,1993
1993-03-23,25.109682545356428,25.127156228408175,25.057261496201196,25.092208862304688,55200,23,1,12,3,1993
1993-03-24,25.057261496201196,25.19705096061515,24.93494571483899,25.092208862304688,37200,24,2,12,3,1993
1993-03-25,25.109682201926685,25.301892712866973,25.07473483630118,25.24947166442871,110100,25,3,12,3,1993
1993-03-26,25.23199977888029,25.249473462937686,25.09221030642112,25.109683990478516,101500,26,4,12,3,1993
1993-03-29,25.1271606069923,25.33684484015218,25.1271606069923,25.214529037475586,87100,29,0,13,3,1993
1993-03-30,25.24947264644304,25.284420013427734,25.214525279458343,25.284420013427734,56000,30,1,13,3,1993
1993-03-31,25.354311383776317,25.42420610847315,25.266942977905273,25.266942977905273,111600,31,2,13,3,1993
1993-04-01,25.30189456979406,25.30189456979406,25.127157728842448,25.17957878112793,129500,1,3,13,4,1993
1993-04-02,24.96990671570127,24.96990671570127,24.655380249023438,24.655380249023438,59400,2,4,13,4,1993
1993-04-05,24.84760285768926,24.84760285768926,24.707813249488474,24.777708053588867,172200,5,0,14,4,1993
1993-04-06,24.830121503017914,24.830121503017914,24.637910850988924,24.707805633544922,129700,6,1,14,4,1993
1993-04-07,24.74273733255979,24.79515838623047,24.690316278889114,24.79515838623047,28000,7,2,14,4,1993
1993-04-08,24.89999950815442,24.89999950815442,24.655367934039216,24.760210037231445,180800,8,3,14,4,1993
1993-04-12,25.004841886134137,25.127157674535912,24.969894518019345,25.109683990478516,348500,12,0,15,4,1993
1993-04-13,25.0922051164839,25.249468240473004,25.074731436040665,25.162099838256836,146100,13,1,15,4,1993
1993-04-14,25.179578262509487,25.19705194624475,25.10968352756845,25.12715721130371,119600,14,2,15,4,1993
1993-04-15,25.10968352756845,25.179578262509487,25.02231510889215,25.12715721130371,148600,15,3,15,4,1993
1993-04-16,25.14463089503897,25.179578262509487,25.09220984383319,25.12715721130371,47900,16,4,15,4,1993
1993-04-19,25.127165746422452,25.197060505105128,25.004849918727768,25.022323608398438,157000,19,0,16,4,1993
1993-04-20,24.987368038244416,25.022315406130073,24.74273646304482,24.899999618530273,279500,20,1,16,4,1993
1993-04-21,24.952423047483638,24.952423047483638,24.812633562623787,24.88252830505371,67900,21,2,16,4,1993
1993-04-22,24.777692705265657,24.987376987679756,24.568008422851562,24.568008422851562,97700,22,3,16,4,1993
1993-04-23,24.515580617359706,24.585475358963013,24.428212190355573,24.463159561157227,106000,23,4,16,4,1993
1993-04-26,24.480626858078892,24.567995262283315,24.201047964624742,24.27094268798828,62600,26,0,17,4,1993
1993-04-27,24.236005467906637,24.533058166503906,24.236005467906637,24.533058166503906,156800,27,1,17,4,1993
1993-04-28,24.4981083757617,24.55052943505363,24.44568731646977,24.480634689331055,85900,28,2,17,4,1993
1993-04-29,24.533060574074035,24.585481643676758,24.393271055133443,24.585481643676758,85000,29,3,17,4,1993
1993-04-30,24.672830038835514,24.76019841716,24.62040901184082,24.62040901184082,88500,30,4,17,4,1993
1993-05-03,24.65539214641318,24.777708053588867,24.550549940262595,24.777708053588867,80500,3,0,18,5,1993
1993-05-04,24.830128663707097,24.95244456845442,24.795181262350717,24.865076065063477,149100,4,1,18,5,1993
1993-05-05,24.865053229007838,25.022316390681116,24.865053229007838,24.934947967529297,109000,5,2,18,5,1993
1993-05-06,24.899997188069143,24.917470870306385,24.83010245912018,24.847576141357422,54700,6,3,18,5,1993
1993-05-07,24.86505312445804,24.86505312445804,24.760211017116685,24.79515838623047,68000,7,4,18,5,1993
1993-05-10,24.83010245912018,24.98736559925535,24.83010245912018,24.847576141357422,113900,10,0,19,5,1993
1993-05-11,24.847580981855632,24.95242309570312,24.777686239290635,24.952423095703125,42600,11,1,19,5,1993
1993-05-12,24.847587614875355,24.934956066404453,24.847587614875355,24.917482376098633,31000,12,2,19,5,1993
1993-05-13,24.812619444154695,24.812619444154695,24.602935336175925,24.62040901184082,129100,13,3,19,5,1993
1993-05-14,24.62041328441013,24.69030799919909,24.58546592701565,24.60293960571289,63500,14,4,19,5,1993
1993-05-17,24.672845374753265,24.690319061279297,24.56800325559709,24.690319061279297,34000,17,0,20,5,1993
1993-05-18,24.70779703426631,24.725270723823783,24.585481207364,24.672849655151367,105200,18,1,20,5,1993
1993-05-19,24.672841942368244,25.17957878112793,24.51557878551179,25.17957878112793,50200,19,2,20,5,1993
1993-05-20,25.1795769331777,25.249471664428714,25.12715588473944,25.24947166442871,98200,20,3,20,5,1993
